noiseStandardDeviationNT,averageNT,min,max,noiseStandardDeviationT,averageT,Signal,SNR,Probability
17.8,11579,11539,11634,627.0,52933,41354,20.75,3.09

No.,dataNT,dataT
1,11593,51466
2,11590,51675
3,11598,51824
4,11568,52016
5,11593,52107
6,11609,52122
7,11586,52147
8,11587,52109
9,11585,52113
10,11557,52117
11,11548,52201
12,11567,52180
13,11579,52220
14,11585,52284
15,11608,52322
16,11591,52371
17,11578,52381
18,11597,52356
19,11576,52324
20,11599,52200
21,11582,52150
22,11595,52152
23,11596,52249
24,11608,52293
25,11587,52307
26,11584,52423
27,11566,52480
28,11580,52600
29,11589,52666
30,11603,52676
31,11634,52526
32,11577,52577
33,11557,52633
34,11574,52679
35,11558,52633
36,11561,52650
37,11574,52648
38,11597,52798
39,11579,52775
40,11580,52759
41,11571,52812
42,11574,52881
43,11565,52858
44,11600,52816
45,11565,52794
46,11560,52803
47,11567,52705
48,11569,52679
49,11587,52725
50,11567,52759
51,11552,52846
52,11559,52858
53,11539,52878
54,11547,52980
55,11581,52950
56,11626,52900
57,11577,52949
58,11572,52876
59,11571,52912
60,11564,52907
61,11574,53090
62,11587,53131
63,11584,53125
64,11567,53206
65,11578,53190
66,11597,53075
67,11556,53088
68,11542,53087
69,11594,53233
70,11569,53269
71,11588,53308
72,11624,53477
73,11585,53386
74,11579,53390
75,11574,53471
76,11595,53415
77,11591,53336
78,11605,53550
79,11594,53593
80,11590,53695
81,11584,53754
82,11581,53810
83,11597,53854
84,11577,53717
85,11567,53696
86,11589,53747
87,11547,53868
88,11549,53916
89,11553,53905
90,11595,53937
91,11592,53991
92,11582,53928
93,11573,53918
94,11574,53948
95,11569,53892
96,11577,53886
97,11583,53837
98,11553,53861
99,11564,53812
100,11574,53845
